

,Kelompok 9,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
,Responden 343,0,2,2,4,1,3,1,4
,Responden 344,3,3,3,1,3,3,3,1
,Responden 345,3,2,2,1,3,2,4,1
,Responden 346,0,2,2,3,0,1,4,0
,Responden 347,3,2,2,1,3,0,4,3
,Responden 348,4,1,1,4,3,1,1,3
,Responden 349,3,3,2,0,4,1,3,3
,Responden 350,3,3,3,1,2,1,3,3
,Responden 351,3,0,0,1,4,0,4,1
,Responden 352,3,2,2,3,3,2,4,3
,Responden 353,3,2,2,3,2,2,3,2
,Responden 354,3,2,2,1,1,1,4,3
,Responden 355,3,2,2,4,3,3,2,3
,Responden 356,1,2,1,1,4,1,2,1
,Responden 357,4,4,3,2,4,3,2,0
,Responden 358,1,1,2,3,4,2,2,0
,Responden 359,3,2,2,1,3,3,2,3
,Responden 360,3,2,1,1,2,3,2,0
,Responden 361,3,2,2,1,3,1,3,3
,Responden 362,1,2,3,1,2,2,1,1
,Responden 363,3,2,2,4,0,4,3,1
,Responden 364,2,2,1,1,3,2,3,1
,Responden 365,3,3,2,2,4,3,3,1
,Responden 366,3,3,2,1,1,1,3,0
,Responden 367,3,3,3,2,4,3,4,3
,Responden 368,3,3,3,2,3,2,2,1
,Responden 369,2,1,1,2,4,1,3,0
,Responden 370,3,3,2,1,4,1,3,3
,Responden 371,2,1,1,2,4,1,3,0
,Responden 372,3,3,2,1,2,2,3,3
,Responden 373,3,2,2,3,3,2,3,2
,Responden 374,4,3,2,4,4,0,4,3
,Responden 375,4,3,3,2,1,3,3,3
,Responden 376,1,0,1,2,4,0,2,1
,Responden 377,2,3,4,3,4,3,3,3
,Responden 378,3,2,2,1,1,1,4,3
,Responden 379,4,3,3,3,2,3,3,3
,Responden 380,4,3,3,3,1,3,3,4
,Responden 381,3,3,3,2,2,2,4,3
,Responden 382,3,1,3,2,4,3,2,0
,Responden 383,4,1,1,2,2,2,4,0
,Responden 384,3,3,3,2,4,1,2,0
,Responden 385,3,1,1,2,4,2,4,1
,Responden 386,3,3,3,3,4,1,2,0
